Source_ID,Source_Name,Source_E/I,Target_ID,Target_Name,Target_E/I,Type,Layers,Neurite,Neurite ID,Potential synapses,Number of contacts,Probability,Connection?,ES,ES PMID,RefIDs,Notes
1000,DG Granule (+)2201p,E,1041,DG Hilar Ectopic Granule (+)2203p,E,L,DG:H,DG:All:Both,3,0.01431564,2.084607852,0.006867306,,,,,
1000,DG Granule (+)2201p,E,1041,DG Hilar Ectopic Granule (+)2203p,E,L,DG:H,DG:H:Both,15,0.01431564,2.084607852,0.006867306,,,,,
1000,DG Granule (+)2201p,E,1002,DG Mossy (+)0103,E,L,DG:H,DG:All:Both,3,0.027719253,2.896463582,0.009570033,1,1,7884451; 18077687;,1001042; 1001045; 1001203; 1001300; 1001400; 1001403; 1001721; 1001727; 1001730; 1001778; 1001969; 1002324; 1002506; 1002739; 1002821; 1003093; 1003102; 1003633; 1004006; 2000003; 2000077;,
1000,DG Granule (+)2201p,E,1002,DG Mossy (+)0103,E,L,DG:H,DG:H:Both,15,0.027719253,2.896463582,0.009570033,,,,,
1000,DG Granule (+)2201p,E,1043,DG Mossy MOLDEN (+)2323,E,L,DG:H,DG:All:Both,3,0.030417901,3.114212536,0.009767446,,,,,
1000,DG Granule (+)2201p,E,1043,DG Mossy MOLDEN (+)2323,E,L,DG:H,DG:H:Both,15,0.030417901,3.114212536,0.009767446,,,,,
1000,DG Granule (+)2201p,E,1027,DG AIPRIM (-)2333,I,L,DG:H,DG:All:Both,3,0.018304856,2.788094584,0.006565364,,,,,
1000,DG Granule (+)2201p,E,1027,DG AIPRIM (-)2333,I,L,DG:H,DG:H:Both,15,0.018304856,2.788094584,0.006565364,,,,,
1000,DG Granule (+)2201p,E,1010,DG Axo-Axonic (-)2233,I,L,DG:H,DG:All:Both,3,0.011194201,2.326357861,0.0048119,,,,,
1000,DG Granule (+)2201p,E,1010,DG Axo-Axonic (-)2233,I,L,DG:H,DG:H:Both,15,0.011194201,2.326357861,0.0048119,,,,,
1000,DG Granule (+)2201p,E,1035,DG Basket (-)2232,I,L,DG:H,DG:All:Both,3,0.008949,2.100154129,0.004261116,1,1,9208867; 25252134;,1001730; 1001957; 1002318; 1003777; 1000366; 2000011; 2000086;,
1000,DG Granule (+)2201p,E,1035,DG Basket (-)2232,I,L,DG:H,DG:H:Both,15,0.008949,2.100154129,0.004261116,,,,,
1000,DG Granule (+)2201p,E,1036,DG Basket CCK+ (-)2232,I,L,DG:H,DG:All:Both,3,0.023629336,3.672335768,0.006434416,1,1,9208867;,1005010,
1000,DG Granule (+)2201p,E,1036,DG Basket CCK+ (-)2232,I,L,DG:H,DG:H:Both,15,0.023629336,3.672335768,0.006434416,,,,,
1000,DG Granule (+)2201p,E,1009,DG HICAP (-)2322,I,L,DG:H,DG:All:Both,3,0.007857057,1.912773422,0.004107678,,,,,only H
1000,DG Granule (+)2201p,E,1009,DG HICAP (-)2322,I,L,DG:H,DG:H:Both,15,0.007857057,1.912773422,0.004107678,1,-1,,1001303; 1001403;,only H
1000,DG Granule (+)2201p,E,1013,DG HIPP (-)1002,I,L,DG:H,DG:All:Both,3,0.020823943,2.843830728,0.007322497,1,,,1000924; 1001303; 1001403; 1002330; 1003789; 2000063;,
1000,DG Granule (+)2201p,E,1013,DG HIPP (-)1002,I,L,DG:H,DG:H:Both,15,0.020823943,2.843830728,0.007322497,,,,,
1000,DG Granule (+)2201p,E,1026,DG HIPROM (-)1333p,I,L,DG:H,DG:All:Both,3,0.020466141,3.093445363,0.00661597,,,,,
1000,DG Granule (+)2201p,E,1026,DG HIPROM (-)1333p,I,L,DG:H,DG:H:Both,15,0.020466141,3.093445363,0.00661597,,,,,
1000,DG Granule (+)2201p,E,1005,DG MOLAX (-)3302,I,L,DG:H,DG:All:Both,3,0.010017901,1.86671261,0.0053666,,,,,
1000,DG Granule (+)2201p,E,1005,DG MOLAX (-)3302,I,L,DG:H,DG:H:Both,15,0.010017901,1.86671261,0.0053666,,,,,
1000,DG Granule (+)2201p,E,1006,DG Outer Molecular Layer (-)3222,I,L,DG:H,DG:All:Both,3,0.006677852,1.764074796,0.00378547,,,,,
1000,DG Granule (+)2201p,E,1006,DG Outer Molecular Layer (-)3222,I,L,DG:H,DG:H:Both,15,0.006677852,1.764074796,0.00378547,,,,,
1000,DG Granule (+)2201p,E,1004,DG Total Molecular Layer (-)3303,I,L,DG:H,DG:All:Both,3,0.011793836,2.269547345,0.005196559,,,,,
1000,DG Granule (+)2201p,E,1004,DG Total Molecular Layer (-)3303,I,L,DG:H,DG:H:Both,15,0.011793836,2.269547345,0.005196559,,,,,
1000,DG Granule (+)2201p,E,2000,CA3 Pyramidal (+)23223p,E,p,CA3:SL; CA3:SP,,,,,,1,1,2114039; 2230936; 8632800; 8753890; 9478900; 2845578; 24336151;,1002506; 1003102; 1003633; 1004006; 1000480; 1000753; 1000762; 1001009; 1001200; 1001250; 1001742; 1001984; 1001999; 1003036; 1003042; 2000077; 2000078;,
1000,DG Granule (+)2201p,E,2004,CA3c Pyramidal (+)03223p,E,p,CA3:SL; CA3:SP,,,,,,1,,,1001009; 1001200; 1003042; 1003051; 2000078;,
